Gene ID	Gene Name	Design Element	'non-small cell lung cancer' vs 'normal'.p-value	'non-small cell lung cancer' vs 'normal'.t-statistic	'non-small cell lung cancer' vs 'normal'.log2foldchange
ENSG00000176749	CDK5R1	204995_at	2.69321345775612e-13	9.03660683137799	1.4
ENSG00000176752	OR51A1P	234770_at	0.997296052280832	-0.00458147080160557	0
ENSG00000176753	C15orf56	239470_at	0.719897686054907	0.465180646676651	0
ENSG00000176769	TCERG1L	231257_at	0.379888032856801	1.06434073460929	0
ENSG00000176774	MAGEB18	1552913_at	NA	-0.978072385980507	0
ENSG00000176783	RUFY1	218243_at	2.03443968139229e-07	-5.96288005619535	-0.4
ENSG00000176788	BASP1	202391_at	0.00019519612283919	4.17181217480314	0.8
ENSG00000176809	LRRC37A3	229962_at	0.130278932280028	-1.75187136935586	-0.1
ENSG00000176834	VSIG10	226485_at	1.37057198526997e-20	-12.8248391812868	-1.8
ENSG00000176840	MIR7-3HG	223913_s_at	0.47905205447387	0.875289828732711	0.1
ENSG00000176842	IRX5	210239_at	0.265472522739941	1.3222585397919	0.3
ENSG00000176845	METRNL	225955_at	0.00696061117877864	-3.02440076667669	-0.4
ENSG00000176853	FAM91A1	226294_x_at	5.37384683303923e-07	5.72769384947349	0.5
ENSG00000176868		224260_at	0.0496898222814351	2.23230965539476	0.1
ENSG00000176871	WSB2	201760_s_at	0.863893642914081	-0.230865316571149	0
ENSG00000176882		1557817_a_at	3.54887143435955e-05	-4.65184189668259	-0.3
ENSG00000176884	GRIN1	210782_x_at	0.426570422516037	0.973075713720433	0.1
ENSG00000176887	SOX11	204915_s_at	0.0151604761023494	2.73266550223933	0.4
ENSG00000176890	TYMS	202589_at	2.60965533950156e-27	16.6341905988547	2.5
ENSG00000176896	TCEANC	1553815_a_at	0.0174948647759802	-2.6756683523364	-0.2
ENSG00000176907	TCIM	218541_s_at	5.72044761394906e-12	-8.35787342386036	-1.9
ENSG00000176909	MAMSTR	1557091_at	0.00168618571565672	3.51188356185845	0.2
ENSG00000176912	TYMSOS	228989_at	2.52030301485745e-07	5.91164371745179	0.4
ENSG00000176915	ANKLE2	212200_at	0.28849894096628	1.26472128468215	0.1
ENSG00000176919	C8G	210324_at	0.0118562286127945	2.82778856338716	0.1
ENSG00000176920	FUT2	210608_s_at	1.65293998101816e-15	10.1656425114989	1.5
ENSG00000176927	EFCAB5	1558300_at	0.992268627913667	-0.0146685757535325	0
ENSG00000176928	GCNT4	220831_at	0.080727061505038	-2.00194304375907	-0.1
ENSG00000176945	MUC20	230043_at	2.80818261757913e-05	4.71541586747504	0.7
ENSG00000176946	THAP4	224057_s_at	0.0618313414740596	2.1308953983469	0.2
ENSG00000176953	NFATC2IP	217526_at	1.95836439073636e-07	-5.97224930926532	-0.5
ENSG00000176956	LY6H	206773_at	0.992762009413335	-0.013893790592695	0
ENSG00000176971	FIBIN	226769_at	7.76260162463614e-09	-6.73375732037159	-1.8
ENSG00000176974	SHMT1	224954_at	0.348462727972161	1.12863477244914	0.1
ENSG00000176978	DPP7	224814_at	0.000211406173828876	-4.14849918656137	-0.4
ENSG00000176984		1564229_at	0.00330160093172785	3.28721566912396	0.2
ENSG00000176986	SEC24C	202361_at	0.0651135064138937	2.10592063166678	0.1
ENSG00000176988	FMR1NB	1552906_at	0.878359203385367	-0.206738420877737	0
ENSG00000176994	SMCR8	227305_s_at	0.000611511876143272	-3.83301313239356	-0.3
ENSG00000176998	HCG4	206685_at	0.22945473758073	1.41668003147195	0.2
ENSG00000177000	MTHFR	226929_at	9.64076073024675e-12	-8.24298277883551	-1
ENSG00000177025	C19orf18	236847_at	0.00289165929496512	-3.33264620173579	-0.1
ENSG00000177030	DEAF1	209407_s_at	0.420211044600522	0.985135442966295	0.1
ENSG00000177034	MTX3	226528_at	0.0116352531300863	2.83489262446784	0.3
ENSG00000177042	TMEM80	221951_at	7.06061671424771e-05	-4.46194944668561	-0.6
