epoch,train_loss,valid_loss,valid_mse,valid_r2,valid_PCC,valid_delta_r2,valid_delta_PCC
1,0.6119132547880342,0.5994509174371659,0.7889226078987122,0.8716880564309774,0.9328249,0.39513807006869106,0.6315724
2,0.6115847729392566,0.6000046657802085,0.789543867111206,0.8716229262977779,0.932774,0.396759420358678,0.63179713
3,0.6103618178370408,0.6004794212676545,0.789898693561554,0.8718590916645745,0.93280065,0.3975787021322586,0.63139725
4,0.6087021305877598,0.5961697277567957,0.786275327205658,0.8721429623591738,0.933024,0.39877845598964134,0.63368523
5,0.606411515313346,0.5970626903286982,0.7872093319892883,0.8722501742613976,0.9330223,0.4001210436742333,0.63382185
6,0.604097082168784,0.5928096015234056,0.7833942770957947,0.8725747871433122,0.93330425,0.40029375449046495,0.6352822
7,0.6017143478634623,0.5914716468783222,0.7824476957321167,0.8730464492718745,0.933426,0.40306154058360444,0.63658667
8,0.5993426663159002,0.5883962126262074,0.7798128724098206,0.8733015429828981,0.93360615,0.4044610766495919,0.63805544
9,0.5974927493689524,0.5886526219858924,0.7801156640052795,0.8733494585423706,0.9335979,0.40516779081296955,0.6382102
10,0.59623573700189,0.5865227290720989,0.7782617807388306,0.8735611496343278,0.9337459,0.4057648795608382,0.63913023
11,0.609862027850485,0.6044084970909618,0.7932304739952087,0.8715184302856638,0.9325671,0.3944555707430374,0.62940645
12,0.6096942562097841,0.5965352877893473,0.786719799041748,0.872257491623672,0.93304485,0.3999844408210534,0.6339484
13,0.6083877323426895,0.5959491972849758,0.7862150073051453,0.8723437151036587,0.9330875,0.4005967163672003,0.6342192
14,0.6068541079381969,0.5953420122654477,0.7856491208076477,0.87235269924519,0.93319696,0.3992111121055821,0.63435704
15,0.6046922264392884,0.5956322537893062,0.785906195640564,0.8722081503444641,0.93311834,0.39956463451686997,0.6342464
16,0.6022477149872545,0.5916928248767936,0.7825629711151123,0.8728869136853219,0.93338996,0.4017196486287341,0.6362335
17,0.5998496644765614,0.5892682044417591,0.7806251049041748,0.8732317316926104,0.9335527,0.4049935062731088,0.637856
18,0.5975145243575566,0.5885093869235678,0.7799296379089355,0.8732856150174436,0.9336154,0.40485308209287996,0.6380677
19,0.5955946908461501,0.5877526305235202,0.7793853282928467,0.8736044810341612,0.93370587,0.4063826480520496,0.6387756
20,0.5943985592428964,0.5851973095890839,0.77718186378479,0.8738134658358725,0.93385667,0.4071565395190057,0.63994855
21,0.6080951878854589,0.5993528647209919,0.7885346412658691,0.8716916387374521,0.9328427,0.3938581007341813,0.6306056
22,0.6078283907029518,0.5951554209547818,0.7850954532623291,0.8724154865949044,0.9331711,0.3977535490866294,0.63313323
23,0.6065745842214968,0.6069321693282942,0.795531690120697,0.8712968978808884,0.93242085,0.3937037334769567,0.628665
24,0.605118335428876,0.5926395847965098,0.7833201885223389,0.8728212841803976,0.9333547,0.40246964574451477,0.6356017
25,0.6028281865968584,0.5926957039883508,0.7834736108779907,0.8726953653028832,0.9333509,0.4019302708472994,0.63592607
26,0.6004427415417642,0.5927468175519883,0.7836887836456299,0.8728743613945321,0.93335557,0.4035872037067492,0.63647276
27,0.5980668976406516,0.587728719217454,0.7791690826416016,0.8733238432387859,0.9336445,0.4039042174905184,0.6381345
28,0.5957715974297063,0.5877746316198738,0.7792373895645142,0.8733066078787717,0.93364143,0.40377675027718485,0.63820916
29,0.5939314484691272,0.585043598325626,0.7770956754684448,0.8737469784828621,0.93385077,0.4071993034254847,0.6401735
30,0.5926769807977706,0.5844598387657388,0.7765634059906006,0.8738360170183026,0.9338972,0.40713519577571683,0.640345
31,0.6063493878244758,0.5978218845669099,0.7875333428382874,0.872228524228672,0.9330017,0.396844279044401,0.6323713
32,0.6061120755703064,0.5967958431188898,0.7868013978004456,0.8720784422885792,0.9329972,0.3985388274444437,0.6333517
33,0.6050815306556744,0.5945677075013879,0.7850573658943176,0.8725970734635464,0.93322736,0.4011545323338147,0.63496536
