epoch,train_loss,valid_loss,valid_mse,valid_r2,valid_PCC,valid_delta_r2,valid_delta_PCC
1,0.6171786478883239,0.6160672144879554,0.8014383912086487,0.8699060639067047,0.93171465,0.37895281594342034,0.6179039
2,0.6169429060464975,0.6174818935129894,0.8024831414222717,0.8696525194741557,0.93161315,0.37613272363000366,0.61667097
3,0.6158145276323851,0.6226645102727026,0.8073850274085999,0.8693547689485837,0.93132126,0.3758967955496748,0.6157349
4,0.6140277935364968,0.613238057551146,0.798977792263031,0.8703367633954,0.931939,0.3799216936672294,0.6191324
5,0.6120304301287322,0.6125451735496729,0.7986291646957397,0.8703108312630877,0.93195474,0.3817503359367927,0.6202801
6,0.6097935455219186,0.6100869304811946,0.7964417338371277,0.8706602092348346,0.93212205,0.3819807962662341,0.6211825
7,0.6074829047971292,0.610987828420888,0.7973757982254028,0.8705913791107037,0.9320978,0.3827752905827188,0.62129325
8,0.6051954191277742,0.6080993168745197,0.7949289679527283,0.8709943211711045,0.9322793,0.3838519234358077,0.62276536
9,0.603477353627661,0.6064493590919066,0.7934563159942627,0.8711654722265469,0.93238556,0.38492084372010843,0.62335646
10,0.6020869972843321,0.6059440563632832,0.7931725382804871,0.871237016962857,0.9324246,0.38589195569172474,0.6240951
11,0.6152543987037179,0.6163970530671864,0.8017916679382324,0.8698205487764755,0.93170905,0.3786593926199318,0.61798185
12,0.6149919429397199,0.6152036335747958,0.8008316159248352,0.8700901777926782,0.93178266,0.37942568700626494,0.61876017
13,0.6139886877247729,0.6145577834156944,0.800175666809082,0.870084096393918,0.9318196,0.37908231879698745,0.6187263
14,0.6123559274594406,0.613171719100804,0.7989905476570129,0.8702761610731068,0.931914,0.37892817880958274,0.6193959
15,0.6103449811968925,0.6122296610348316,0.7982468008995056,0.870457544497174,0.93201905,0.38111507538371575,0.620057
16,0.6080918696188121,0.612607404617621,0.7984503507614136,0.8700638045233463,0.9319169,0.37876531036889527,0.6194764
17,0.6057630622974428,0.6080591804854232,0.7948710322380066,0.8709692848284047,0.9322859,0.38392208828955016,0.6227063
18,0.6036028311677915,0.6070311538044273,0.7939855456352234,0.871128241889214,0.9323564,0.3847042744717153,0.62318116
19,0.6017101079754505,0.6058945654841168,0.7930882573127747,0.8712900816523099,0.9324344,0.3851352422906578,0.62397903
20,0.60044378907641,0.6044968426167664,0.7918833494186401,0.8714385196795198,0.9325318,0.38609356757085556,0.6246215
21,0.6135848481586601,0.6172159423826162,0.8022168874740601,0.8694334354493366,0.9315942,0.3755345256951341,0.61666965
22,0.6133344653931868,0.6151173627085113,0.8007155656814575,0.8701200288204972,0.9318141,0.3790320921895198,0.61866075
23,0.6124420848306549,0.6124669047471503,0.7985039949417114,0.8703819662608606,0.93197876,0.38134640322659685,0.62012374
24,0.6106098337219535,0.6121267540245007,0.7980431914329529,0.8703449866191494,0.9319809,0.3800835959869456,0.6197215
25,0.6087273078407782,0.6115958781259577,0.797680675983429,0.8705436884833632,0.9320426,0.3808323811705535,0.62028295
26,0.6064521945465212,0.609621922527065,0.796329140663147,0.8707761756774725,0.9322092,0.3850065466356793,0.62235737
27,0.6041196888989169,0.6080456267509445,0.7949033379554749,0.8709558353376379,0.93228793,0.38350674473878327,0.62285906
28,0.6020495219586036,0.6076442708671234,0.7945814728736877,0.8711401291129597,0.9323278,0.3854384510702727,0.6231242
29,0.6001438216722467,0.6052889756090312,0.7925388216972351,0.8712839887054792,0.93246603,0.38478663309273814,0.6241663
30,0.5988969691377442,0.6045010761798757,0.7919045686721802,0.8715264663707779,0.93255556,0.38678187264251473,0.6246782
31,0.6122295365941944,0.6144419163355432,0.8001264333724976,0.8700175600940908,0.93178844,0.3800645644626973,0.6189483
32,0.6117313769897696,0.61283482391351,0.7988210320472717,0.8703889788808791,0.9319674,0.38080589457711767,0.61995393
33,0.6108180077539289,0.6118253261818418,0.7978452444076538,0.8703653527625808,0.9320224,0.3805349001596278,0.62006634
34,0.6091209430049697,0.6100515373538441,0.7964553236961365,0.8706913831201268,0.9321583,0.38181666852576707,0.62134606
35,0.6071725904783687,0.6105243176380273,0.7970703840255737,0.8707404283375952,0.9321349,0.3830479473016698,0.6218204
36,0.605001917182533,0.6080655303934257,0.7949305772781372,0.8710542641151653,0.9323018,0.3850657906717403,0.6228835
37,0.6027227917149257,0.6058079812320657,0.7930548787117004,0.8713254676674924,0.9324597,0.3860871596965908,0.6241564
38,0.6004911828953572,0.6051361397502945,0.7924725413322449,0.87135103755776,0.9324908,0.38643254451296255,0.62445486
39,0.5987049278610432,0.6043071177073237,0.7918133735656738,0.8714432901153194,0.9325528,0.38674341287665226,0.6250207
40,0.5974778223867839,0.6039688135673594,0.7916257977485657,0.8716048886341676,0.9325989,0.388164294552301,0.62552327
41,0.6106426265637331,0.6130310895765356,0.7990394234657288,0.8702676127148724,0.9319536,0.3808932692411932,0.62002784
42,0.6104526070344553,0.6119111533380522,0.7980860471725464,0.8703906867228784,0.93199503,0.38098400381425185,0.62058336
43,0.6093305719541858,0.6114484562149257,0.7976520657539368,0.8704777278396997,0.9320725,0.38186568020763834,0.62067866
44,0.607775182340074,0.6107551042574824,0.7970372438430786,0.8705254656033775,0.9320937,0.3825604650511283,0.62094045
45,0.6057241085598897,0.6087042952395691,0.7952814102172852,0.8707830374248353,0.93226075,0.3830098499611776,0.6219238
46,0.6034971306995166,0.6072526609609056,0.7941292524337769,0.8710413291652855,0.9323505,0.3839480780395172,0.622922
47,0.6011835212958799,0.6063158976925321,0.7932556867599487,0.8711248133716999,0.932418,0.3829725812142401,0.6231327
48,0.5991086633871736,0.6039026803031363,0.7914368510246277,0.8714650942122352,0.93258154,0.3872517304247077,0.6251141
49,0.5972850348057983,0.6029805109689205,0.7907238006591797,0.8715961047458153,0.9326505,0.3877324147280896,0.62581104
50,0.5961063327726566,0.6019755109401028,0.7897934913635254,0.871780888543305,0.9327371,0.387736619939242,0.62605983
51,0.6092076328558605,0.6105463140038232,0.7968319654464722,0.8706304482790793,0.932146,0.382485941908618,0.62095237
52,0.609058180463888,0.6112154949472558,0.7974132299423218,0.8705923427726577,0.9320816,0.3814038509646027,0.620659
53,0.60806200761128,0.6107231524060988,0.7970583438873291,0.8705175035298625,0.9321145,0.3827638939520487,0.6211173
54,0.6064242624497594,0.6142820792128719,0.8003296852111816,0.8701376496540906,0.93184716,0.38042039019141427,0.6201588
55,0.6044358172233902,0.607425699894212,0.7943543791770935,0.8711242783438138,0.9323532,0.3841586350281708,0.6230955
56,0.6021936380295011,0.6093989587431505,0.7960419654846191,0.870968041317003,0.9322426,0.38394561583351755,0.6221434
57,0.5998762709086526,0.60521679371442,0.7924569249153137,0.8712321891201548,0.9325034,0.38466015150964405,0.62413347
58,0.5978128284446927,0.6037517756325806,0.7912545204162598,0.8714493957289401,0.9326083,0.38634213573984644,0.62500924
