epoch,train_loss,valid_loss,valid_mse,valid_r2,valid_PCC,valid_delta_r2,valid_delta_PCC
1,0.6038622943486065,0.6333465367916962,0.8200216293334961,0.86181853085371,0.9275253,0.38182548913520514,0.62225014
2,0.6025894849548298,0.6330042167740983,0.8198117613792419,0.8619028184145217,0.92752767,0.3828268603239913,0.6226918
3,0.6161206400423923,0.6403378430046789,0.8256862759590149,0.8608346374150058,0.926977,0.3762583521442924,0.6178281
4,0.6160640762619355,0.639305165810925,0.8247773051261902,0.8610597470143724,0.9271036,0.3778485306025576,0.61824036
5,0.6147007037030334,0.64053280827543,0.8260027170181274,0.8609306285809581,0.92697835,0.37776041868721355,0.6182332
6,0.6132865090389025,0.6372093375836166,0.8231632113456726,0.8614391391175507,0.9272839,0.3801629534065906,0.6198465
7,0.6109978682422408,0.6392667316553488,0.8248401880264282,0.8609883001113569,0.92709965,0.37713044502567694,0.6185784
8,0.6085840268060945,0.6352709708760375,0.8214048147201538,0.8616857181418429,0.92741877,0.37998939263686704,0.6204463
9,0.6062263437478473,0.6356276901519118,0.8221418261528015,0.8616459252717833,0.92734486,0.38242445791069607,0.6217138
10,0.6039642968281229,0.6316471860881947,0.8186596632003784,0.8622762417656556,0.92772907,0.3843074916239434,0.62337494
11,0.6021247096898539,0.6298782444451261,0.8171396851539612,0.8624922000252466,0.9278265,0.3854655467875406,0.6242047
12,0.6008422349491993,0.6289649276493361,0.8162542581558228,0.8625694812384664,0.9279086,0.38447548450521407,0.6242976
13,0.6145239408833963,0.6421291296280642,0.8272621035575867,0.8605348222384454,0.92682815,0.3757523317118994,0.61710995
14,0.6142702856188169,0.6399327435357559,0.8254522681236267,0.8612741992946766,0.9271511,0.37771552452653323,0.6183985
15,0.6131022388301345,0.637853060392937,0.823789119720459,0.8613066358752342,0.9271902,0.38005123238897615,0.61978704
16,0.6115003936223877,0.6352965736495608,0.8214792609214783,0.8617333602155092,0.9274477,0.3812664455451736,0.62060905
17,0.6094208920953196,0.6329144752924359,0.8193548917770386,0.8621104455524676,0.927651,0.3810722398373006,0.62146765
18,0.6069686026680714,0.6306560131224568,0.817441463470459,0.8626017901651439,0.9278907,0.3828763571471684,0.62261844
19,0.6045290156841276,0.6323333659913967,0.8192009329795837,0.8620467654535063,0.9276324,0.38302443270422565,0.62289196
20,0.6022971363640923,0.6311891224470122,0.8181671500205994,0.8621727313726769,0.92777836,0.3835763943565137,0.62326
