epoch,train_loss,valid_loss,valid_mse,valid_r2,valid_PCC,valid_delta_r2,valid_delta_PCC
1,0.6130631157324405,0.6090646491428018,0.7982399463653564,0.8707421531852787,0.9321327,0.3949132093067827,0.63058436
2,0.6126857754255244,0.6109609824126573,0.79988694190979,0.8701588072209993,0.93186975,0.39205595040317076,0.6297531
3,0.6114936679372225,0.6065034413290687,0.7960643768310547,0.871097321635131,0.93232524,0.3969020953090351,0.6318695
4,0.6097454881901907,0.6072345530446059,0.7965068221092224,0.8708089328557387,0.9322206,0.39477565178973456,0.63090724
5,0.6076346677915461,0.605968806652147,0.7954288721084595,0.8709797357113684,0.93232965,0.395345701278948,0.63153344
6,0.6052700403473061,0.6034997441789591,0.7933935523033142,0.871294079173568,0.93251425,0.3958743504291583,0.6329796
7,0.6028233689036326,0.6020990598916309,0.7924894690513611,0.8716568712516216,0.9326212,0.3998843947243706,0.6346346
8,0.600506853910482,0.5988983528153679,0.7896296977996826,0.8719510272343859,0.93285686,0.40071680120278236,0.63577104
9,0.5986546315370386,0.5983263863626972,0.7892235517501831,0.8721254569013869,0.9328842,0.40191228901471493,0.6363238
10,0.5972962512980696,0.59630974756441,0.7875685095787048,0.8723660796248449,0.93303317,0.40377929319948114,0.63752925
11,0.6109635440415387,0.6077194100841706,0.7971398234367371,0.8708616719701575,0.93224615,0.3962739744438883,0.6314011
12,0.6107552156246977,0.6115569261963708,0.8001404404640198,0.8702312317765394,0.93198574,0.3913872237115171,0.628612
13,0.6094891551479471,0.6060752233109314,0.7955915927886963,0.8709874808905849,0.93234533,0.39591316257226716,0.63172126
14,0.6078967342918769,0.6060000893141103,0.7956961393356323,0.8708468138583854,0.93229264,0.39723549174128275,0.63232005
15,0.6057709282596132,0.603392022142477,0.7933894991874695,0.8714419763150777,0.93256587,0.3983122155477275,0.63332474
16,0.603408159228762,0.6010749272441562,0.7914533615112305,0.871634385911076,0.93266803,0.3996354852020224,0.6345946
17,0.6009937034574826,0.6023890275276406,0.7924948334693909,0.8714667057888439,0.9325759,0.3969238895591401,0.6336857
18,0.5986310927289749,0.59757312434506,0.7885736227035522,0.872129597729707,0.93293005,0.402178858386304,0.6366681
19,0.5968355169508659,0.5969660740185645,0.7882071733474731,0.8723962030599985,0.93301475,0.40402242118741066,0.6374702
20,0.5954634091128064,0.5959111005215653,0.7871842980384827,0.8723647483449697,0.9330604,0.40329132694469394,0.63757735
21,0.6093031342252961,0.6102231974910366,0.7990423440933228,0.8704446126097724,0.9320563,0.3927285093845971,0.6293972
22,0.6090974462323538,0.6087326274117345,0.7980333566665649,0.8707652987869886,0.9321766,0.39604771456401844,0.63100237
23,0.6078072940459978,0.6181808639326434,0.805848240852356,0.8695585577926654,0.9315906,0.3865500282109949,0.6255579
24,0.6062247684394648,0.6054090622770433,0.7951009273529053,0.8712823823613545,0.93244284,0.39696908314514595,0.632306
25,0.6040060156160421,0.6016352664773907,0.7919664978981018,0.8716248811463222,0.93266946,0.40028219260638254,0.6344372
26,0.6017342397746502,0.5999322046960297,0.7906155586242676,0.8718342262432037,0.9327816,0.40158788739035534,0.6356111
27,0.5992302675948386,0.5984496655911857,0.7893609404563904,0.8721650875769549,0.9329155,0.4021478332828038,0.6363709
28,0.5969802634510205,0.5967062457574003,0.787776529788971,0.8721936282564149,0.93300647,0.4016427581069332,0.6369006
29,0.5950993157550325,0.5954349544238811,0.7867875099182129,0.8724258755530472,0.93308,0.4032288998117836,0.6378417
30,0.5937615828778022,0.5944598508473898,0.7860185503959656,0.872647508230268,0.93318135,0.4049348006229666,0.63852906
31,0.6077092204491942,0.6065333029875188,0.7959299683570862,0.8708479295164189,0.9322952,0.3948647756218333,0.63132197
32,0.6074562077417595,0.6041858991383723,0.7940386533737183,0.8712940581992018,0.9324688,0.3972471203663242,0.63284254
