,pert_iname,pubchem_cid_list,canonical_smiles_list
3050,BRD-K19653414,['108051'],['CN(C)CCCN1c2ccccc2CCc2cc(O)ccc12']
3051,BRD-K19658687,['54660900'],['OC[C@@H]1[C@H]2Cn3c(ccc(-c4ccc(F)cc4)c3=O)[C@@H]([C@H]1C(O)=O)N2CC1CCCCC1']
3052,BRD-K19677752,['54638487'],['C[C@H](NC(=O)C[C@H]1CC[C@@H](NS(=O)(=O)c2cccc(F)c2)[C@H](CO)O1)c1ccccc1']
3053,BRD-K19689423,['44496430'],['C[C@H](CO)N1C[C@H](C)[C@H](CN(C)CC2CC2)OCCCC[C@H](C)Oc3ccc(NS(=O)(=O)c4ccccc4)cc3C1=O']
3054,BRD-K19696710,['54638422'],['CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1']
3055,BRD-K19696793,['54659411'],['O[C@@H]1COC[C@H]2O[C@@H](CC(=O)N3CCOCC3)CC[C@@H]2N(C1)C(=O)c1ccccc1F']
3056,BRD-K19724398,['53338857'],['CC(C)N1CCc2sc(NC(C)=O)c(-c3nc4ccccc4s3)c2CC1']
3057,BRD-K19729667,['54638798'],['Cc1ccc(cc1)S(=O)(=O)NCC[C@H]1CC[C@H](NC(=O)CC2CC2)[C@@H](CO)O1']
3058,BRD-K19729690,['44484466'],['C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)c3ccccc3)Oc4ccc(NS(=O)(=O)C)cc4CC1=O']
3059,BRD-K19735876,['44142129'],['COc1ccccc1c2csc3ncnc(Sc4nnnn4C)c23']
3060,BRD-K19742528,['54646328'],['OC[C@@H]1O[C@H](CC(=O)N2CCc3ccccc3C2)C[C@H]4[C@@H]1Oc5ccc(NC(=O)C6CCOCC6)cc45']
3061,BRD-K19764902,['44490887'],['C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C1=O']
3062,BRD-K19770227,['54638517'],['CN(C)CCCNC(=O)C[C@H]1CC[C@H](NS(=O)(=O)c2ccc(C)cc2)[C@H](CO)O1']
3063,BRD-K19808762,['54646446'],['OC[C@H]1O[C@@H](CC(=O)NC2CCCCC2)C[C@H]3[C@@H]1Oc4ccc(NC(=O)c5ccc6OCOc6c5)cc34']
3064,BRD-K19818442,['54615027'],['C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(Cl)cc2)OCCCC[C@@H](C)Oc3ccc(NC(=O)Nc4c(C)noc4C)cc3C1=O']
3065,BRD-K19821569,['54665046'],['COc1ccccc1-c1ccc2N[C@@H](CO)[C@@H]3CCN([C@@H]3c2c1)C(=O)c1ccc2OCOc2c1']
3066,BRD-K19825378,['54645856'],['OC[C@H]1O[C@H](CC(=O)NCC2CC2)C[C@H]3[C@@H]1Oc4ccc(NC(=O)CC5CC5)cc34']
3067,BRD-K19826330,['56835561'],['C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C)OCc2ccccc2-c3ccccc3C1=O']
3068,BRD-K19833084,['54649907'],['CCc1cnc(s1)N1[C@@H](CO)[C@@H]([C@H]1C#N)c1ccc(cc1)C#CC(C)C']
3069,BRD-K19838409,['54622572'],['CCCN(C)C[C@H]1Oc2cc(ccc2S(=O)(=O)N(C[C@@H]1C)[C@H](C)CO)c3ccc(C)cc3']
3070,BRD-K19845538,['44505585'],['C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccccc2C(F)(F)F)OCc3cnnn3CCCC1=O']
3071,BRD-K19865807,['54646456'],['OC[C@@H]1O[C@@H](CC(=O)NCc2cccc(F)c2)C[C@@H]3[C@H]1Oc4ccc(NC(=O)C5CCC5)cc34']
3072,BRD-K19868817,['60191448'],['COc1ccc(cc1)C#Cc1ccc(cc1)[C@H]1[C@@H](CO)N2[C@H]1CN(CC2=O)C(=O)NC(C)C']
3073,BRD-K19870323,['54631220'],['C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccc(cc2)C(F)(F)F)Oc3cc(ccc3S1(=O)=O)c4ccc(C)cc4']
3074,BRD-K19873234,['54654189'],['CN1[C@@H]2CC[C@@H](CC(=O)NCCN3CCCCC3)O[C@@H]2COc2ccc(NC(=O)Nc3ccc(Cl)cc3)cc2C1=O']
3075,BRD-K19873942,['60185005'],['CN(C)C(=O)c1cccc(c1)-c1ccc(cc1)[C@H]1[C@H]2CN(Cc3nccs3)C[C@@H]1N2']
3076,BRD-K19875179,['752172'],['OC(=O)CCC(=O)Nc1ccc(Br)c2cccnc12']
3077,BRD-K19876534,['54646516'],['OC[C@@H]1O[C@H](CC(=O)NCc2ccc(Oc3ccccc3)cc2)C[C@@H]4[C@H]1Oc5ccc(NS(=O)(=O)c6ccc(F)cc6)cc45']
3078,BRD-K19882533,['54660841'],['COc1ccccc1-c1ccc2[C@H]3[C@H]([C@H](CO)[C@@H](Cn2c1=O)N3CC1CC1)C(=O)N1CCOCC1']
3079,BRD-K19888970,['60189645'],['COc1ccc2c3c([C@@H](CO)N(Cc4ccccc4OC)C[C@]33CN(C)C3)n(C)c2c1']
3080,BRD-K19890875,['54639100'],['COc1ccc(NC(=O)N[C@@H]2CC[C@@H](CC(=O)NC3CCC3)O[C@@H]2CO)cc1']
3081,BRD-K19898724,['71760854'],['COCC(=O)N1CC[C@@]2(CC1)CN(Cc1cc(F)ccc1F)[C@@H](CO)c1c2c2ccc(OC)cc2n1C']
3082,BRD-K19914944,['54650153'],['CCc1cnc(s1)N1[C@@H](CO)[C@@H]([C@@H]1C#N)c1ccc(cc1)C1=CCCCC1']
3083,BRD-K19915020,['54638845'],['OC[C@@H]1O[C@H](CCn2cc(nn2)-c2ccccc2F)CC[C@H]1NC(=O)c1ccc2OCOc2c1']
3084,BRD-K19917828,['54661017'],['OC[C@@H]1[C@H]2Cn3c(ccc(-c4cncnc4)c3=O)[C@H]2N(CC2CCCC2)[C@H]1C(=O)Nc1nccs1']
3085,BRD-K19919069,['54654798'],['CC(C)c1cccc(NC(=O)C[C@H]2CC[C@H]3[C@@H](COc4ccc(NC(=O)NCc5ccccc5)cc4C(=O)N3C)O2)c1']
3086,BRD-K19922318,['16749996'],['CN(C)C(=O)c1cccc(c1)-n1sc2ccccc2c1=O']
3087,BRD-K19933506,['54657793'],['CN(C)CCCNC(=O)C[C@@H]1CC[C@H]2[C@@H](COC[C@H](O)CN2CC2CCCC2)O1']
3088,BRD-K19938940,['54660656'],['COC(=O)[C@@H]1[C@@H](CO)[C@@H]2Cn3c(cccc3=O)[C@@H]2N1CC1CCOCC1']
3089,BRD-K19944193,['54652486'],['OC[C@H]1[C@@H]2[C@@H](CN(C(=O)C3CCCCC3)c3ccccc23)N1C(=O)Cc1ccccn1']
3090,BRD-K19949652,['54631406'],['CO[C@@H]1CN(C)C(=O)c2cc(NS(C)(=O)=O)ccc2OC[C@@H](C)N(C[C@H]1C)C(=O)C1CCOCC1']
3091,BRD-K19960610,['44486370'],['C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc3cccnc3c2)OCc4cn(CCCC1=O)nn4']
3092,BRD-K19965545,['54639116'],['Cc1ccc(cc1)S(=O)(=O)N[C@@H]1CC[C@H](CCNC(=O)c2ccccc2F)O[C@H]1CO']
3093,BRD-K19969523,['54649499'],['CO[C@H]1CC[C@@H]2CCN(C)C(=O)[C@@H](C)[C@H](CN(C)C(=O)c3cccc(C#N)c3OC[C@H]1O2)OC']
3094,BRD-K19969618,['44505586'],['C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2cccc(Oc3ccccn3)c2)OCc4cnnn4CCCC1=O']
3095,BRD-K19971276,['54657487'],['CN1CCN(CC1)C(=O)C[C@@H]1CC[C@@H]2[C@H](COC[C@H](O)CN2CC2CCOCC2)O1']
3096,BRD-K19973268,['44505119'],['C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2ccccc2C)OCc3cn(CCCC1=O)nn3']
3097,BRD-K19973744,['44246456'],['Cc1cc(C)cc(c1)S(=O)(=O)N1CCN(CC1)c1nc(nc2ccccc12)-c1cccs1']
3098,BRD-K19982400,['44488299'],['C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc3OCOc3c2)Oc4ccc(NC(=O)Cc5ccccc5)cc4C1=O']
3099,BRD-K19985802,['44607949'],['Fc1ccc(cc1)S(=O)(=O)C(=C\\c1cccn1S(=O)(=O)c1cccc(c1)C#N)\\C#N']
3100,BRD-K19995377,['54654270'],['C[C@H](NC(=O)C[C@@H]1CC[C@H]2[C@@H](COc3ccc(NS(=O)(=O)c4ccc(Cl)cc4)cc3C(=O)N2C)O1)c1ccccc1']
3101,BRD-K19995388,['54657947'],['CN(C)C(=O)C[C@H]1CC[C@H]2[C@@H](COC[C@H](O)CN2C(=O)c2ccncc2)O1']
3102,BRD-K20009726,['54618626'],['COCC(=O)N(C)C[C@@H]1Oc2ncc(C#CC(C)(C)O)cc2C(=O)N(C[C@H]1C)[C@H](C)CO']
3103,BRD-K20013327,['44485069'],['C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc3OCOc3c2)OCc4cn(CCCC1=O)nn4']
3104,BRD-K20016217,['54661347'],['CCN1[C@H]([C@H](CO)[C@H]2Cn3c(ccc(-c4ccccc4OC)c3=O)[C@@H]12)C(=O)NCc1ccc(F)cc1']
3105,BRD-K20019319,['54618484'],['COCC(=O)N(C)C[C@@H]1Oc2cc(ccc2S(=O)(=O)N(C[C@@H]1C)[C@H](C)CO)c3ccccc3F']
3106,BRD-K20032161,['60185234'],['COc1ccc2c3c([C@@H](CO)N(C[C@]33CCN(CC3)C(=O)Nc3cccc(F)c3)S(C)(=O)=O)n(C)c2c1']
3107,BRD-K20032520,['54631365'],['CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)C3CCOCC3)cc2OC[C@@H](C)N(Cc2nccs2)C[C@@H]1C']
3108,BRD-K20032655,['25668960'],['O=C(NNC(=O)c1ccccc1)c2csc(n2)c3ccccc3']
3109,BRD-K20037743,['44484539'],['COc1ccccc1CN(C)C[C@@H]2OCc3cn(CCCC(=O)N(C[C@H]2C)[C@@H](C)CO)nn3']
3110,BRD-K20044426,['54660863'],['OC[C@H]1[C@@H]2Cn3c(ccc(C4=CCCCC4)c3=O)[C@H]([C@@H]1C(O)=O)N2C(=O)Cc1ccccn1']
3111,BRD-K20051162,['54654379'],['CC(C)NC(=O)Nc1ccc2OC[C@H]3O[C@@H](CC(=O)NCc4ccc(F)cc4)CC[C@H]3N(C)C(=O)c2c1']
3112,BRD-K20065144,['54646585'],['OC[C@@H]1O[C@@H](CC(=O)NCCc2ccccc2)C[C@@H]3[C@H]1Oc4ccc(NC(=O)Cc5ccncc5)cc34']
3113,BRD-K20075074,['60191195'],['OC[C@H]1[C@@H]([C@@H]2CN(CC(=O)N12)C(=O)Cc1cccnc1)c1ccc(cc1)C#CC1CCCCC1']
3114,BRD-K20079620,['54651224'],['COCCN(C[C@H]1[C@H]([C@H](CO)N1C(=O)C1CCC1)c1ccccc1)C(C)=O']
3115,BRD-K20081026,['54652487'],['OC[C@@H]1[C@@H]2[C@@H](CN(C(=O)C3CCCCC3)c3ccccc23)N1C(=O)Cc1ccccn1']
3116,BRD-K20089037,['54631886'],['CO[C@@H]1CN(C)C(=O)c2cc(NS(=O)(=O)CC(F)(F)F)ccc2OC[C@@H](C)N(CC2CCCCC2)C[C@H]1C']
3117,BRD-K20091307,['54631854'],['CO[C@H]1CN(C)C(=O)c2cc(NC(=O)c3ccno3)ccc2OC[C@@H](C)N(C[C@H]1C)S(C)(=O)=O']
3118,BRD-K20093888,['54618631'],['C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)CC2CCOCC2)Oc3cc(ccc3S1(=O)=O)c4cccnc4']
3119,BRD-K20097363,['54651206'],['CC(C)CN(C[C@@H]1[C@@H]([C@@H](CO)N1C(C)=O)c1ccccc1)C(=O)c1ccccn1']
3120,BRD-K20099363,['54649452'],['CC(C)(C)[S@](=O)N1Cc2cc(nc(c2[C@@H]1CCO)-c1cccc(c1)-c1ccc(cc1)C#N)C(=O)N1CCCCC1']
3121,BRD-K20103689,['54618545'],['C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)c2ccc(F)cc2)Oc3cc(ccc3S1(=O)=O)C4=CCCC4']
3122,BRD-K20107219,['54631527'],['CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)c3cnccn3)cc2OC[C@@H](C)NC[C@H]1C']
3123,BRD-K20109053,['60185092'],['COc1ccc2c3c([C@H](CO)N(C[C@]33CCN(Cc4cccc(F)c4)CC3)C(=O)C3CC3)n(C)c2c1']
3124,BRD-K20112532,['790989'],['Nc1c(C#N)sc2nc(cc(c3ccc(Cl)cc3)c12)C4CC4']
3125,BRD-K20119687,['54618445'],['C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)c2ccc3OCOc3c2)Oc4cc(ccc4S1(=O)=O)c5ccccc5']
3126,BRD-K20120164,['60190087'],['COc1ccc2c3c([nH]c2c1)[C@@H](CO)N(Cc1cc(OC)cc(OC)c1)C[C@]31CN(C1)C(=O)Nc1c(C)noc1C']
3127,BRD-K20121961,['54654260'],['C[C@@H](NC(=O)C[C@@H]1CC[C@@H]2[C@H](COc3ccc(NS(=O)(=O)c4ccc(Cl)cc4)cc3C(=O)N2C)O1)c1ccccc1']
3128,BRD-K20123385,['44507309'],['C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4ccc(NC(=O)Nc5ccc(cc5)C(F)(F)F)cc4CC1=O']
3129,BRD-K20126873,['44488524'],['C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C)Oc2ccc(NC(=O)C3CC3)cc2C1=O']
3130,BRD-K20138758,['44202501'],['C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccc(cc2)C(F)(F)F)Oc3ccc(NC(=O)Cc4ccccc4)cc3C1=O']
3131,BRD-K20139170,['54614999'],['CC(C)NC(=O)N(C)C[C@H]1OCCCC[C@@H](C)Oc2ccc(NC(=O)c3ccccc3)cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO']
3132,BRD-K20146413,['60185016'],['COc1ccc2c3c([nH]c2c1)[C@@H](CO)N(C[C@]31CN(C1)C(=O)c1ccccn1)C(=O)C1CCC1']
3133,BRD-K20148542,['54646271'],['COc1ccc(NC(=O)Nc2ccc3O[C@@H]4[C@@H](C[C@H](CC(=O)NCCc5ccccc5)O[C@H]4CO)c3c2)cc1']
3134,BRD-K20151898,['44249892'],['COc1cc2CCN3C[C@H](CC(C)C)[C@@H](O)C[C@H]3c2cc1OC']
3135,BRD-K20154295,['54666535'],['COc1ccc(cc1)C#Cc1ccc(cc1)[C@@H]1[C@@H](CO)N2CCCCN(C)C[C@@H]12']
3136,BRD-K20159808,['54657477'],['CS(=O)(=O)N1C[C@@H](O)COC[C@H]2O[C@@H](CC(=O)NCc3ccccc3)CC[C@H]12']
3137,BRD-K20163346,['54638748'],['OC[C@H]1O[C@H](CCNC(=O)CCN2CCCCC2)CC[C@H]1NS(=O)(=O)c1cccc(Cl)c1']
3138,BRD-K20168484,['3651377'],['CC(C)c1ccc2n(Cc3ccc(Cl)cc3)c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c2c1']
3139,BRD-K20170530,['60189761'],['COc1ccc2c3c([C@H](CO)N(C[C@]33CCN(CC4CC4)CC3)C(=O)c3ccncc3)n(C)c2c1']
3140,BRD-K20178228,['44493374'],['C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(cc2)c3ccccc3)Oc4ccc(NC(=O)c5ccncc5)cc4C1=O']
3141,BRD-K20182751,['54654318'],['COC(=O)C[C@H]1CC[C@H]2[C@H](COc3ccc(NC(=O)Nc4cc(C)cc(C)c4)cc3C(=O)N2C)O1']
3142,BRD-K20191348,['54661199'],['OC[C@@H]1[C@H]2Cn3c(ccc(\\C=C\\c4ccccc4)c3=O)[C@@H]([C@H]1C(=O)NCC1CC1)N2C(=O)C1CCC1']
3143,BRD-K20192397,['44490468'],['CC(C)NC(=O)Nc1ccc2O[C@H](C)CCCCO[C@@H](CN(C)C)[C@H](C)CN([C@H](C)CO)C(=O)c2c1']
3144,BRD-K20197338,['54657749'],['Cc1cccc(c1)S(=O)(=O)N1C[C@H](O)COC[C@H]2O[C@H](CC(=O)Nc3ccc(cc3)-c3ccccc3)CC[C@H]12']
3145,BRD-K20200700,['54646072'],['OC[C@H]1O[C@@H](CC(=O)NCC(F)(F)F)C[C@@H]2[C@H]1Oc3ccc(NS(=O)(=O)c4ccccc4)cc23']
3146,BRD-K20203275,['54666420'],['OC[C@H]1[C@H]([C@H]2CN(CCCCN12)C(=O)Nc1cccc(F)c1)c1ccc(cc1)C#Cc1cccnc1']
3147,BRD-K20211345,['54660947'],['C[C@H](NC(=O)[C@@H]1[C@@H](CO)[C@@H]2Cn3c(ccc(-c4ccncc4)c3=O)[C@@H]2N1C)c1ccccc1']
3148,BRD-K20216424,['54652553'],['CC(=O)N1[C@H](CO)[C@H]2[C@@H]1CN(c1ccccc21)S(=O)(=O)c1ccc(F)cc1']
3149,BRD-K20220643,['54638964'],['C[C@@H](NC(=O)C[C@H]1O[C@@H](CO)[C@H](NC(=O)Nc2ccc3OCOc3c2)C=C1)c1ccccc1']
3150,BRD-K20251969,['54637873'],['C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)NC2CCCCC2)OCc3ccccc3-c4ccccc4C1=O']
3151,BRD-K20255967,['54637753'],['COc1ccc(OC(=O)N(C)C[C@@H]2OCc3ccccc3-c4ccccc4C(=O)N(C[C@@H]2C)[C@H](C)CO)cc1']
3152,BRD-K20272026,['54654250'],['COc1cccc(CNC(=O)C[C@H]2CC[C@@H]3[C@H](COc4ccc(NS(=O)(=O)c5ccccc5F)cc4C(=O)N3C)O2)c1']
3153,BRD-K20278954,['44504350'],['C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(cc2)C(F)(F)F)Oc3ccc(NC(=O)Nc4ccccc4)cc3CC1=O']
3154,BRD-K20281332,['54657790'],['CN(C)CCCNC(=O)C[C@@H]1CC[C@@H]2[C@H](COC[C@@H](O)CN2CC2CCCC2)O1']
3155,BRD-K20307883,['54638970'],['OC[C@@H]1O[C@H](CCNC(=O)c2ccc(F)cc2)CC[C@@H]1NC(=O)Nc1ccc(Cl)c(Cl)c1']
3156,BRD-K20310932,['54638454'],['OC[C@H]1O[C@H](CC(=O)NCCCN2CCOCC2)C=C[C@H]1NS(=O)(=O)c1ccccc1F']
3157,BRD-K20315727,['60184932'],['CCCNC(=O)N1CC[C@@]2(CC1)CN(Cc1ccccn1)[C@@H](CO)c1c2c2ccc(OC)cc2n1C']
3158,BRD-K20332840,['54646693'],['OC[C@@H]1O[C@H](CC(=O)NCc2ccc(Cl)cc2)C[C@H]3[C@@H]1Oc4ccc(NC(=O)Nc5ccc(cc5)C(F)(F)F)cc34']
3159,BRD-K20342806,['54639127'],['CN1CCN(CC1)C(=O)C[C@H]1O[C@@H](CO)[C@H](NS(=O)(=O)c2cccc(F)c2)C=C1']
3160,BRD-K20342961,['54654162'],['CN1CCN(CC1)C(=O)C[C@H]1CC[C@@H]2[C@@H](COc3ccc(NC(=O)c4cscn4)cc3C(=O)N2C)O1']
3161,BRD-K20345035,['60184897'],['CCS(=O)(=O)N1C[C@@]2(C1)CN([C@H](CO)c1[nH]c3cc(OC)ccc3c21)C(=O)Cc1ccccn1']
3162,BRD-K20351658,['60185157'],['Fc1ccc(cc1)-c1ccc(cc1)[C@H]1[C@H]2CN(C[C@@H]1N2)C(=O)NC1CCCCC1']
3163,BRD-K20352452,['44493263'],['C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)NC2CCCCC2)Oc3ccc(NC(=O)C4CCCCC4)cc3C1=O']
3164,BRD-K20369357,['60185165'],['COc1ccc2c3c([nH]c2c1)[C@H](CO)N(C[C@]31CN(C)C1)C(=O)c1ccncc1']
3165,BRD-K20381303,['54646658'],['COc1ccccc1CNC(=O)C[C@@H]2C[C@H]3[C@H](Oc4ccc(NC(=O)c5cccnc5)cc34)[C@H](CO)O2']
3166,BRD-K20382089,['54616535'],['C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)OCCCC[C@H](C)Oc3ccc(NS(=O)(=O)c4ccccc4)cc3C1=O']
3167,BRD-K20401833,['2360837'],['OC(c1ccc(NS(=O)(=O)c2cccs2)cc1)(C(F)(F)F)C(F)(F)F']
3168,BRD-K20428479,['54660710'],['CCC(=O)N1[C@@H]2Cn3c(ccc(-c4ccc(F)cc4)c3=O)[C@H]1[C@H]([C@@H]2CO)C(=O)OC']
3169,BRD-K20429911,['54652476'],['OC[C@H]1[C@@H]2[C@@H](CN(C(=O)c3ccncc3)c3ccccc23)N1C(=O)c1ccccn1']
3170,BRD-K20433775,['54657676'],['O[C@H]1CN[C@H]2CC[C@H](CC(=O)Nc3ccc(cc3)-c3ccccc3)O[C@@H]2COC1']
3171,BRD-K20441249,['54653995'],['CCS(=O)(=O)Nc1ccc2OC[C@@H]3O[C@H](CC(=O)N4CCN(C)CC4)CC[C@H]3N(C)C(=O)c2c1']
3172,BRD-K20449903,['54666429'],['OC[C@@H]1[C@@H]([C@H]2CN(CCCCN12)S(=O)(=O)c1cccs1)c1ccc(\\C=C\\c2ccccc2)cc1']
3173,BRD-K20462402,['60190997'],['OC[C@@H]1[C@@H]([C@H]2CN(CC(=O)N12)C(=O)Cc1ccccn1)c1ccc(cc1)C#CCC1CCCC1']
3174,BRD-K20469405,['54646210'],['OC[C@@H]1O[C@@H](CC(=O)NCC(F)(F)F)C[C@@H]2[C@H]1Oc3ccc(NC(=O)c4ccc5OCOc5c4)cc23']
3175,BRD-K20479120,['44485200'],['CC(C)NC(=O)N(C)C[C@H]1Oc2ccc(cc2CC(=O)N(C[C@@H]1C)[C@H](C)CO)N(C)C']
3176,BRD-K20490522,['54666610'],['CCS(=O)(=O)N1CCCCN2[C@H](CO)[C@@H]([C@@H]2C1)c1ccc(cc1)-c1ccc(cc1)C(=O)N(C)C']
3177,BRD-K20492338,['50918585'],['Nc1nc2ccccc2n1-c1nc(NCc2ccccc2)c2ccccc2n1']
3178,BRD-K20497962,['44496324'],['C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)c4ccncc4)cc3CC1=O']
3179,BRD-K20500634,['56835355'],['C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2c(C)noc2C)OCc3ccccc3-c4c(C1=O)n(C)c5ccccc45']
3180,BRD-K20501513,['44501118'],['C[C@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)C)OCCCC[C@@H](C)Oc2ccc(NC(=O)c3ccncc3)cc2C1=O']
3181,BRD-K20510412,['327120'],['Cc1ccc(cc1)C(=O)/N=c\\2/cccc[nH]2']
3182,BRD-K20517870,['54646230'],['OC[C@@H]1O[C@@H](CC(=O)NCc2ccncc2)C[C@H]3[C@@H]1Oc4ccc(NC(=O)NC5CCCC5)cc34']
3183,BRD-K20531360,['54615087'],['C[C@H](CO)N1C[C@H](C)[C@H](CN(C)CC2CC2)OCCCC[C@H](C)Oc3ccc(NS(=O)(=O)c4cn(C)cn4)cc3C1=O']
3184,BRD-K20537503,['60190164'],['CCS(=O)(=O)N1C[C@@]2(C1)CN(Cc1ccc3OCOc3c1)[C@@H](CO)c1c2c2ccc(OC)cc2n1C']
3185,BRD-K20554239,['54651263'],['OC[C@@H]1[C@@H]([C@@H](CNC(=O)c2ccncc2)N1CC1CCCC1)c1ccccc1']
3186,BRD-K20555183,['54631348'],['CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)c3ccccn3)cc2OC[C@@H](C)N(C[C@H]1C)C(=O)Nc1ccccc1Cl']
3187,BRD-K20555710,['54660729'],['OC[C@H]1[C@@H]2Cn3c(ccc(\\C=C\\c4ccccc4)c3=O)[C@H]([C@@H]1C(=O)NCc1ccccn1)N2CC1CC1']
3188,BRD-K20578716,['54619062'],['CCCC#Cc1cnc2O[C@@H](CN(C)C(=O)Nc3cccc(F)c3)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1']
3189,BRD-K20585111,['60185030'],['COc1ccc(cc1)-c1ccc(cc1)[C@@H]1[C@@H]2CNC[C@H]1N2C(=O)Nc1ccc(F)cc1']
3190,BRD-K20597651,['44484129'],['C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc(F)cc2)Oc3ccc(NS(=O)(=O)c4ccccc4)cc3C1=O']
3191,BRD-K20601561,['60184843'],['COc1ccc2c3c([nH]c2c1)[C@@H](CO)N(C[C@]31CCN(CC1)C(=O)CC1CC1)C(=O)CC1CC1']
3192,BRD-K20604601,['54646304'],['OC[C@H]1O[C@H](CC(=O)N2CCc3ccccc3C2)C[C@@H]4[C@H]1Oc5ccc(NC(=O)Cc6ccncc6)cc45']
3193,BRD-K20609812,['60185192'],['COc1ccc2c3c([nH]c2c1)[C@@H](CO)NC[C@]31CN(C1)C(=O)Nc1ccc2OCOc2c1']
3194,BRD-K20616644,['54615639'],['C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Cc2ccccc2)OCCCC[C@@H](C)Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc3C1=O']
3195,BRD-K20652606,['54665024'],['OC[C@H]1Nc2ccc(cc2[C@H]2[C@@H]1CCN2C(=O)c1ccccc1F)-c1cccc(c1)C#N']
3196,BRD-K20658410,['54666428'],['OC[C@H]1[C@H]([C@H]2CN(CCCCN12)S(=O)(=O)c1cccs1)c1ccc(\\C=C\\c2ccccc2)cc1']
3197,BRD-K20718732,['44484048'],['C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(Oc3ccccc3)cc2)Oc4ccc(NC(=O)Nc5ccc6OCOc6c5)cc4C1=O']
3198,BRD-K20721504,['54649305'],['CO[C@@H](CN(C)C(=O)C1CC1)[C@@H](C)CN([C@H](C)CO)C(=O)Nc1ccc(cc1)C(F)(F)F']
3199,BRD-K20725229,['54650053'],['OC[C@@H]1[C@@H]([C@H](C#N)N1C(=O)Nc1cccc(F)c1)c1ccccc1']
3200,BRD-K20729616,['54631282'],['CO[C@H]1CN(C)C(=O)c2ccc(NC(C)=O)cc2OC[C@@H](C)N(C[C@H]1C)C(=O)Cc1ccccn1']
3201,BRD-K20732958,['60191438'],['COc1cccc(NC(=O)N2C[C@@H]3[C@H]([C@@H](CO)N3C(=O)C2)c2ccc(cc2)C#CCC2CCCC2)c1']
3202,BRD-K20740790,['44488540'],['C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc3OCOc3c2)Oc4ccc(NC(=O)CCCN(C)C)cc4C1=O']
3203,BRD-K20754058,['54631666'],['CCCC(=O)Nc1ccc2OC[C@H](C)N(C[C@@H](C)[C@H](CN(C)C(=O)c2c1)OC)C(=O)c1ccccn1']
3204,BRD-K20757362,['54631806'],['CCCNC(=O)Nc1ccc2c(OC[C@H](C)N(Cc3cccnc3)C[C@H](C)[C@@H](CN(C)C2=O)OC)c1']
3205,BRD-K20758354,['54654456'],['CN1[C@H]2CC[C@@H](CC(=O)NCC(F)(F)F)O[C@H]2COc2ccc(NC(=O)c3ccccc3Cl)cc2C1=O']
