,pert_iname,pubchem_cid_list,canonical_smiles_list
55,A-23187,['11957499'],['C[C@@H]1CC[C@]2([C@@H](C[C@H]([C@H](O2)[C@H](C)C(=O)C3=CC=CN3)C)C)O[C@@H]1CC4=NC5=C(O4)C=CC(=C5C(=O)O)NC']
56,A-443644,['10172943'],['Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)c1']
57,ABC-294640,['15604015'],['Clc1ccc(cc1)C12CC3CC(CC(C3)(C1)C(=O)NCc1ccncc1)C2']
58,ABT-737,['11228183'],['CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1']
59,ABT-751,['3035714'],['COc1ccc(cc1)S(=O)(=O)Nc1cccnc1Nc1ccc(O)cc1']
60,AC-55649,['1714884'],['CCCCCCCCc1ccc(cc1)-c1ccc(cc1)C(O)=O']
61,ACDPP,['16759169'],['CN(C)c1nc(N)c(nc1Cl)C(=O)Nc1cccnc1']
62,AF-DX-116,['107867'],['CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc12']
63,AG-14361,['9840076'],['CN(C)Cc1ccc(cc1)-c1nc2cccc3C(=O)NCCn1c23']
64,AG-370,['5328748'],['NC(=C(C#N)C#N)/C(=C/c1ccc2[nH]ccc2c1)/C#N']
65,AG-490,['5328779'],['C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N']
66,AG-494,['5328771'],['Oc1ccc(C=C(C#N)C(=O)Nc2ccccc2)cc1O']
67,AG-592,['5467485'],['Oc1ccc(/C=C(\\C#N)/C(=O)NC2CCC(CC3CCC(CC3)NC(=O)\\C(=C\\c4ccc(O)c(O)c4)\\C#N)CC2)cc1O']
68,AG-957,['2064'],['COC(=O)c1ccc(NCc2cc(O)ccc2O)cc1']
69,AG-99,['5328768'],['NC(=O)C(=Cc1ccc(O)c(O)c1)C#N']
70,AGK-2,['2130404'],['Clc1ccc(Cl)c(c1)c2ccc(/C=C(\\C#N)/C(=O)Nc3cccc4ncccc34)o2']
71,AICA-ribonucleotide,['200'],['NC(=O)c1ncn(C2OC(COP(O)(O)=O)C(O)C2O)c1N']
72,AKT-inhibitor-1-2,['10196499'],['O=c1[nH]c2ccccc2n1C3CCN(Cc4ccc(cc4)c5nc6cc7[nH]cnc7cc6nc5c8ccccc8)CC3']
73,AKT-inhibitor-IV,['5719375'],['CC[n+]1c(/C=C/N(C)c2ccccc2)n(c3ccccc3)c4ccc(cc14)c5nc6ccccc6s5']
74,ALW-II-38-3,['24880028'],['Cc1cn(cn1)-c1cc(cc(c1)C(F)(F)F)C(=O)Nc1ccc(C)c(NC(=O)c2ccno2)c1']
75,ALW-II-49-7,['24875320'],['Cc1ccc(cc1Nc1cncc(c1)C(N)=O)C(=O)Nc1cccc(c1)C(F)(F)F']
76,ALX-5407,"['16078946', '6604909']",['CN(CC[C@@H](Oc1ccc(cc1)-c1ccccc1)c1ccc(F)cc1)CC(O)=O']
77,AM-251,['2125'],['Cc1c(nn(c1-c1ccc(I)cc1)-c1ccc(Cl)cc1Cl)C(=O)NN1CCCCC1']
78,AM-281,['4302962'],['Cc1c(nn(c1-c1ccc(I)cc1)-c1ccc(Cl)cc1Cl)C(=O)NN1CCOCC1']
79,AM-404,['6604822'],['CCCCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCC(=O)NC1=CC=C(C=C1)O']
80,AM-580,['2126'],['CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O']
81,AM-630,['4302963'],['COc1ccc(cc1)C(=O)c1c(C)n(CCN2CCOCC2)c2cc(I)ccc12']
82,AM-92016,['133104'],['CN(CCc1ccc(Cl)c(Cl)c1)CC(O)COc1ccc(NS(C)(=O)=O)cc1']
83,AMG-9810,['680502'],['CC(C)(C)c1ccc(C=CC(=O)Nc2ccc3OCCOc3c2)cc1']
